Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,user_id,presentation_id,submission_date
0,1,0,0,1,1,0,0,1,1,0,1,1,U1_P1,2008-12-30 22:00:00
0,0,1,0,0,0,1,0,0,0,0,0,2,U2_P2,2020-03-29 14:00:00
0,1,1,0,0,1,1,1,0,1,0,0,2,U2_P3,2017-12-20 07:00:00
0,0,1,0,0,0,1,0,1,1,0,0,3,U3_P4,2022-03-11 05:00:00
0,1,0,1,1,0,0,0,1,1,0,1,3,U3_P5,2023-10-24 13:00:00
0,0,1,0,0,0,1,1,0,1,0,1,4,U4_P6,2023-05-17 00:00:00
0,1,0,1,0,1,0,1,0,0,0,1,4,U4_P7,2010-06-23 16:00:00
1,0,1,0,1,0,0,0,1,1,1,0,5,U5_P8,2023-04-30 11:00:00
0,1,0,0,0,0,0,0,0,0,0,0,6,U6_P9,2009-09-03 04:00:00
1,1,0,0,1,0,0,0,0,0,0,1,6,U6_P10,2010-01-30 02:00:00
0,0,1,0,0,1,1,0,1,0,1,0,7,U7_P11,2019-10-10 19:00:00
0,0,0,0,1,0,1,0,0,0,1,0,7,U7_P12,2019-08-20 19:00:00
0,0,1,0,0,0,0,0,0,1,0,0,8,U8_P13,2010-06-06 16:00:00
0,0,0,0,1,1,0,0,0,0,0,0,9,U9_P14,2010-07-01 11:00:00
1,1,1,1,0,0,0,0,0,0,0,0,9,U9_P15,2006-07-05 15:00:00
0,1,1,1,0,0,0,0,1,0,0,0,10,U10_P16,2006-10-19 11:00:00
0,0,0,0,0,0,0,0,0,1,0,1,10,U10_P17,2019-08-21 07:00:00
0,0,0,0,0,0,1,0,0,0,0,0,11,U11_P18,2010-03-23 15:00:00
0,0,0,0,0,0,1,0,0,0,0,0,12,U12_P19,2014-06-20 16:00:00
0,0,1,0,0,1,1,0,1,0,1,0,13,U13_P20,2020-09-10 13:00:00
0,1,0,0,0,0,0,0,0,0,1,0,14,U14_P21,2018-08-04 03:00:00
0,0,1,0,0,0,1,0,1,1,0,0,15,U15_P22,2008-06-15 07:00:00
1,1,0,1,0,0,0,0,0,1,0,0,15,U15_P23,2024-10-30 12:00:00
1,0,1,0,0,1,1,1,0,0,0,1,16,U16_P24,2015-10-10 16:00:00
0,0,1,1,0,1,0,0,0,1,0,1,16,U16_P25,2019-10-13 16:00:00
0,0,0,0,0,1,0,0,0,0,0,0,17,U17_P26,2008-09-16 19:00:00
1,0,1,0,0,1,0,0,0,0,0,0,17,U17_P27,2024-02-26 04:00:00
0,0,0,0,0,1,0,0,0,0,1,0,18,U18_P28,2016-01-27 18:00:00
1,0,1,0,0,1,0,0,1,0,0,1,19,U19_P29,2020-08-24 17:00:00
0,1,0,0,0,1,0,1,1,0,0,0,19,U19_P30,2011-12-07 23:00:00
0,0,0,1,1,1,0,0,0,0,0,0,20,U20_P31,2017-02-01 08:00:00
1,0,0,0,0,0,0,1,0,0,0,0,21,U21_P32,2010-06-23 03:00:00
1,0,0,0,0,0,0,1,0,0,1,1,21,U21_P33,2021-02-11 18:00:00
0,0,0,0,0,0,1,0,1,1,0,0,22,U22_P34,2020-09-08 01:00:00
0,0,0,0,0,0,1,0,0,0,0,0,22,U22_P35,2023-07-26 00:00:00
0,1,1,0,1,0,1,0,0,0,0,1,23,U23_P36,2017-09-26 07:00:00
1,0,0,0,0,1,1,0,0,0,0,0,23,U23_P37,2018-05-03 20:00:00
0,1,1,0,1,1,1,0,1,0,0,0,24,U24_P38,2018-10-10 23:00:00
0,0,0,0,0,0,0,0,0,1,1,0,24,U24_P39,2015-06-10 11:00:00
0,0,0,0,0,1,0,0,0,0,0,0,25,U25_P40,2025-05-19 19:00:00
1,1,1,0,1,1,0,0,1,0,0,0,26,U26_P41,2010-11-20 01:00:00
1,1,0,1,0,0,1,0,0,0,0,1,26,U26_P42,2019-08-15 19:00:00
1,0,0,1,1,0,0,0,0,0,0,0,27,U27_P43,2014-05-31 04:00:00
0,0,0,1,1,0,0,0,1,1,0,0,27,U27_P44,2019-09-09 15:00:00
0,0,1,0,0,0,0,0,0,0,0,0,28,U28_P45,2014-07-30 20:00:00
1,0,0,0,0,0,1,1,0,1,0,0,28,U28_P46,2011-08-25 11:00:00
1,0,0,1,1,0,1,1,0,0,0,1,29,U29_P47,2023-01-13 20:00:00
1,0,0,1,1,0,0,0,0,1,1,0,29,U29_P48,2008-03-22 12:00:00
0,0,0,1,0,1,0,1,0,1,0,1,30,U30_P49,2019-10-31 09:00:00
1,1,1,0,0,0,0,0,1,0,0,0,31,U31_P50,2009-11-08 19:00:00
0,0,0,0,0,0,1,0,0,0,0,0,31,U31_P51,2018-10-09 04:00:00
0,0,0,1,0,1,0,0,0,0,0,1,32,U32_P52,2018-11-11 07:00:00
0,0,0,1,0,0,0,0,0,0,0,0,32,U32_P53,2006-05-04 06:00:00
0,0,0,0,1,0,0,0,0,0,1,0,33,U33_P54,2010-03-05 08:00:00
1,0,0,1,0,0,0,1,0,0,1,1,34,U34_P55,2019-06-28 02:00:00
0,0,0,0,0,0,0,0,0,0,1,0,34,U34_P56,2022-05-29 05:00:00
0,0,1,1,1,0,1,0,0,0,0,0,35,U35_P57,2023-06-21 13:00:00
0,0,0,0,0,1,0,0,0,0,0,0,35,U35_P58,2023-08-03 19:00:00
0,0,0,0,0,0,0,1,1,0,0,0,36,U36_P59,2022-06-17 10:00:00
0,0,1,1,0,0,0,0,0,0,0,0,36,U36_P60,2022-09-08 21:00:00
0,0,0,0,0,1,1,1,0,0,0,1,37,U37_P61,2008-05-19 21:00:00
1,1,0,0,0,0,1,0,1,0,0,0,38,U38_P62,2007-01-26 05:00:00
0,1,0,0,0,0,0,0,0,0,0,1,39,U39_P63,2016-08-24 15:00:00
0,1,0,1,1,0,0,0,1,0,1,0,40,U40_P64,2017-02-24 06:00:00
0,0,0,1,1,1,1,0,0,0,1,1,40,U40_P65,2023-09-11 08:00:00
0,1,0,1,0,1,0,0,1,1,0,1,41,U41_P66,2009-06-20 00:00:00
0,0,1,0,0,1,0,0,0,0,1,0,42,U42_P67,2014-02-18 15:00:00
1,0,0,1,0,0,0,0,0,0,0,1,42,U42_P68,2023-02-08 02:00:00
1,1,0,0,1,0,0,1,1,0,0,1,43,U43_P69,2013-07-08 23:00:00
0,1,1,1,1,0,0,0,0,1,0,1,44,U44_P70,2020-09-12 05:00:00
0,0,0,0,0,0,0,0,1,0,0,0,45,U45_P71,2006-07-14 23:00:00
0,1,0,0,0,0,0,0,1,0,0,1,46,U46_P72,2023-04-26 20:00:00
0,0,1,0,1,0,0,1,0,0,1,0,47,U47_P73,2007-12-19 14:00:00
1,1,0,0,0,0,1,0,0,0,0,1,47,U47_P74,2016-02-03 08:00:00
0,1,0,0,0,1,0,0,1,0,0,0,48,U48_P75,2013-06-18 10:00:00
1,0,1,0,0,1,0,1,1,0,0,0,49,U49_P76,2011-11-18 16:00:00
1,0,0,0,0,1,0,1,0,0,1,0,49,U49_P77,2007-12-31 22:00:00
0,1,1,1,1,1,0,0,0,0,1,0,50,U50_P78,2017-05-20 23:00:00
