Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,user_id,presentation_id,submission_date
0,1,1,0,1,0,0,1,0,0,1,0,1,U1_P1,2021-06-10 09:00:00+00:00
0,0,0,0,0,0,0,0,1,0,1,0,2,U2_P2,2007-07-13 01:00:00+00:00
0,0,0,1,1,0,1,0,1,0,0,1,3,U3_P3,2010-08-03 01:00:00+00:00
1,0,1,0,0,0,0,0,0,1,1,1,3,U3_P4,2024-06-03 18:00:00+00:00
1,0,0,0,1,0,0,0,1,0,0,0,4,U4_P5,2010-05-26 18:00:00+00:00
0,0,0,0,0,0,0,0,0,0,0,1,4,U4_P6,2019-12-19 19:00:00+00:00
1,0,0,0,0,0,1,1,0,0,0,0,5,U5_P7,2011-06-24 12:00:00+00:00
0,0,0,0,1,0,0,0,0,0,0,1,5,U5_P8,2011-07-15 14:00:00+00:00
1,1,0,0,0,1,0,1,0,0,0,0,6,U6_P9,2023-03-21 22:00:00+00:00
1,0,1,1,1,0,0,0,0,0,0,0,6,U6_P10,2012-10-09 08:00:00+00:00
1,0,0,1,0,1,1,0,0,0,1,1,7,U7_P11,2016-02-17 04:00:00+00:00
1,0,0,0,0,0,0,0,0,0,1,0,8,U8_P12,2016-06-16 15:00:00+00:00
0,0,0,0,0,0,0,0,1,0,1,0,9,U9_P13,2020-12-27 01:00:00+00:00
1,0,0,0,1,1,1,0,0,0,0,0,9,U9_P14,2024-02-28 10:00:00+00:00
0,1,1,0,0,0,1,0,0,0,1,0,10,U10_P15,2019-04-17 19:00:00+00:00
0,0,0,0,0,0,0,1,1,0,1,0,10,U10_P16,2010-01-25 22:00:00+00:00
0,1,0,0,0,0,1,0,0,1,1,0,11,U11_P17,2019-06-06 21:00:00+00:00
0,0,0,0,0,0,0,1,0,0,0,0,11,U11_P18,2009-02-28 07:00:00+00:00
0,1,0,0,0,0,0,0,0,0,0,1,12,U12_P19,2007-07-27 20:00:00+00:00
0,0,0,0,0,0,1,0,0,0,0,0,13,U13_P20,2013-11-19 03:00:00+00:00
0,0,0,1,1,0,0,0,0,0,1,1,14,U14_P21,2009-12-06 21:00:00+00:00
0,1,0,0,0,0,0,0,1,0,0,0,15,U15_P22,2014-01-29 12:00:00+00:00
0,0,0,0,0,1,1,0,0,0,0,1,15,U15_P23,2009-08-30 09:00:00+00:00
1,1,0,1,0,0,1,0,0,0,1,1,16,U16_P24,2023-09-24 05:00:00+00:00
0,0,0,0,1,0,0,0,0,1,1,0,16,U16_P25,2013-08-01 12:00:00+00:00
0,0,1,0,1,0,0,0,1,1,0,1,17,U17_P26,2017-05-11 08:00:00+00:00
0,0,0,1,0,0,0,0,1,0,0,0,17,U17_P27,2015-09-29 13:00:00+00:00
0,0,0,0,0,0,0,0,0,0,1,0,18,U18_P28,2020-05-13 05:00:00+00:00
1,0,0,0,0,1,0,0,0,1,0,1,19,U19_P29,2016-10-06 21:00:00+00:00
0,0,1,0,1,1,0,0,1,0,0,0,20,U20_P30,2019-02-07 02:00:00+00:00
0,0,0,0,0,0,0,0,0,0,0,1,20,U20_P31,2008-05-19 11:00:00+00:00
0,0,0,0,1,0,0,0,0,0,1,1,21,U21_P32,2009-12-25 06:00:00+00:00
1,1,0,0,0,0,0,1,0,0,1,1,21,U21_P33,2016-04-28 16:00:00+00:00
1,0,1,0,1,0,1,0,0,0,1,0,22,U22_P34,2010-03-09 20:00:00+00:00
0,0,0,0,1,1,0,0,1,1,1,1,23,U23_P35,2024-03-25 09:00:00+00:00
0,0,0,0,1,0,0,1,0,1,0,0,24,U24_P36,2024-06-14 23:00:00+00:00
1,1,0,1,1,0,1,0,0,0,0,1,25,U25_P37,2008-10-15 02:00:00+00:00
1,0,0,0,0,0,0,0,0,0,0,0,26,U26_P38,2007-09-17 06:00:00+00:00
1,0,0,0,0,0,0,0,1,1,0,0,27,U27_P39,2010-02-23 08:00:00+00:00
1,0,1,0,0,1,0,1,1,0,1,0,27,U27_P40,2017-10-10 11:00:00+00:00
0,0,0,0,0,0,0,0,1,0,0,1,28,U28_P41,2008-06-25 00:00:00+00:00
1,0,1,0,0,1,0,0,1,0,1,1,28,U28_P42,2021-02-22 03:00:00+00:00
0,1,0,1,0,0,1,0,0,1,0,0,29,U29_P43,2009-08-25 02:00:00+00:00
0,1,1,1,0,0,0,0,0,0,0,0,30,U30_P44,2014-04-14 15:00:00+00:00
