Boring presentation,Graphics,Readability,Consistency,Images,Bullets,Text size,Text heavy,Tables,Agenda,Infographics,Positioning,Presentation length,General tips,Presentation skills,Powerpoint knowledge,tips and tricks,Explanation of the problem,presentation_type,audience_type,location_restrictions,Main issue,article_id,popularity,submission_date,days_since_first_submission
1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,technical,business,North America,Presentation length,1,1.19,2020-04-18 23:00:00+00:00,5252.9585
1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,formal,creative,North America,General,2,1.05,2024-11-27 18:00:00+00:00,6936.75
1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,creative,academic,Europe,General,3,0.8,2017-01-30 13:00:00+00:00,4078.5417
1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,branding,academic,Middle East,Data visualization,4,1.29,2022-05-22 00:00:00+00:00,6016.0
0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,formal,specialized,Asia,Images,5,2.79,2015-12-29 02:00:00+00:00,3680.0833
1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,creative,academic,North America,Easy on eyes,6,3.48,2020-11-04 15:00:00+00:00,5452.625
0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,formal,kids,Europe,Presentation length,7,2.71,2010-12-14 00:00:00+00:00,1839.0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,creative,general,Asia,Presentation length,8,0.69,2024-04-15 02:00:00+00:00,6710.0835
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,creative,specialized,Europe,General,9,1.93,2025-02-14 00:00:00+00:00,7015.0
1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,formal,academic,Asia,General,10,3.33,2015-08-03 09:00:00+00:00,3532.375
1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,formal,general,Asia,Consistency,11,2.51,2016-08-19 11:00:00+00:00,3914.4583
0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,technical,creative,Europe,Presentation length,12,4.65,2009-04-22 10:00:00+00:00,1238.4166
1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,technical,business,North America,Readability,13,4.55,2007-11-20 02:00:00+00:00,719.0833
1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,branding,business,Asia,General,14,1.56,2013-07-30 04:00:00+00:00,2798.1667
0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,technical,creative,North America,General,15,2.54,2014-10-07 12:00:00+00:00,3232.5
0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,branding,general,Middle East,PowerPoint knowledge,16,1.15,2022-09-02 15:00:00+00:00,6119.625
1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,creative,creative,Middle East,Tables,17,4.77,2021-05-13 10:00:00+00:00,5642.4165
1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,formal,general,Europe,Images,18,1.22,2015-12-20 05:00:00+00:00,3671.2083
